timestamp,saturation_status
996000,1533
2000000,1533
3000000,1533
4003000,1533
5000000,1533
6000000,1533
7003000,1533
8000000,1533
9000000,1533
10004000,1533
11004000,1533
12003000,1529
13003000,1529
14008000,1529
14999000,1533
16003000,1529
17003000,1529
18003000,1529
19000000,1529
20008000,1529
21000000,1
22004000,1
23000000,1
24003000,1
25003000,1
26003000,1
27000000,1
28003000,1
29000000,1
30000000,1
31000000,1
32000000,1
33000000,1
34000000,1
35000000,1
36003000,1
36999000,1
38003000,1
39003000,1
40000000,1
41000000,1
42000000,1
43000000,1
44001000,1
45000000,1
46000000,1
47003000,1
48000000,1
49001000,1533
50003000,1533
51003000,1529
