timestamp,timestamp_sample,device_id,error_count,pressure,temperature
1003000,1003000,6620172,0,1007.2781,14.676173
2003000,2003000,6620172,0,1007.2794,14.674821
3000000,3000000,6620172,0,1007.2732,14.674885
4004000,4004000,6620172,0,1007.252,14.674916
5003000,5003000,6620172,0,1007.2658,14.676121
6003000,6003000,6620172,0,1007.2783,14.6761465
6999000,6999000,6620172,0,1007.2639,14.6759
8003000,8003000,6620172,0,1007.27576,14.67489
9001000,9001000,6620172,0,1007.2577,14.675995
10003000,10003000,6620172,0,1007.27734,14.675619
11000000,11000000,6620172,0,1007.25616,14.674904
12003000,12003000,6620172,0,1007.2802,14.6749735
13001000,13001000,6620172,0,1007.27405,14.676105
14001000,14001000,6620172,0,1007.2597,14.675271
15000000,15000000,6620172,0,1007.26135,14.675796
16003000,16003000,6620172,0,1007.2274,14.673377
17003000,17003000,6620172,0,1007.20795,14.672049
18003000,18003000,6620172,0,1007.1772,14.670746
19000000,19000000,6620172,0,1007.1969,14.670946
20003000,20003000,6620172,0,1007.20105,14.671118
21003000,21003000,6620172,0,1007.1911,14.67138
22004000,22004000,6620172,0,1007.185,14.670608
23000000,23000000,6620172,0,1007.188,14.671323
24003000,24003000,6620172,0,1007.1751,14.671271
25003000,25003000,6620172,0,1007.18414,14.670938
25997000,25997000,6620172,0,1007.1753,14.671213
27000000,27000000,6620172,0,1007.181,14.67077
28000000,28000000,6620172,0,1007.1919,14.670622
29001000,29001000,6620172,0,1007.1804,14.671167
30003000,30003000,6620172,0,1007.1679,14.67116
31000000,31000000,6620172,0,1007.1927,14.670177
32003000,32003000,6620172,0,1007.1942,14.670938
33004000,33004000,6620172,0,1007.1814,14.67039
34003000,34003000,6620172,0,1007.1696,14.670115
35003000,35003000,6620172,0,1007.18866,14.6713085
36001000,36001000,6620172,0,1007.16974,14.670999
37003000,37003000,6620172,0,1007.1711,14.670423
37995000,37995000,6620172,0,1007.1819,14.67087
39001000,39001000,6620172,0,1007.2426,14.673424
40000000,40000000,6620172,0,1007.256,14.675914
41000000,41000000,6620172,0,1007.269,14.675806
42003000,42003000,6620172,0,1007.27814,14.67546
43003000,43003000,6620172,0,1007.2683,14.675678
44003000,44003000,6620172,0,1007.2608,14.6758585
